"Xu hướng","Lượng tìm kiếm","Đã bắt đầu","Đã kết thúc","Bảng chi tiết về xu hướng","Đường liên kết khám phá"
"barca","10 N+","lúc 02:10:00 UTC+7 10 tháng 4, 2025","lúc 07:40:00 UTC+7 10 tháng 4, 2025","barca,serhou guirassy","https://trends.google.com.vn/trends/explore?q=barca&geo=VN&hl=vi"
"sàn chứng khoán","5 N+","lúc 09:00:00 UTC+7 10 tháng 4, 2025",,"sàn chứng khoán,vcbs,mỹ hoãn áp thuế việt nam,trump hoãn áp thuế,trump,đàm phán thuế với mỹ,djt,kết quả đàm phán thuế với mỹ,tin 24h,mỹ hoãn thuế 90 ngày,trump hoãn thuế,chứng khoán mỹ,trung quốc áp thuế mỹ,giá cà phê trực tuyến,24h.com.vn,truth social trump,donald trump áp thuế trung quốc,truth social,thuế đối ứng","https://trends.google.com.vn/trends/explore?q=s%C3%A0n%20ch%E1%BB%A9ng%20kho%C3%A1n&geo=VN&hl=vi"
"concacaf champions cup","200+","lúc 08:40:00 UTC+7 10 tháng 4, 2025",,"concacaf champions cup","https://trends.google.com.vn/trends/explore?q=concacaf%20champions%20cup&geo=VN&hl=vi"
"cổ phiếu hpg","1 N+","lúc 15:30:00 UTC+7 9 tháng 4, 2025",,"cổ phiếu hpg,mai phương thúy,hpg cổ phiếu","https://trends.google.com.vn/trends/explore?q=c%E1%BB%95%20phi%E1%BA%BFu%20hpg&geo=VN&hl=vi"
"pumas unam đấu với whitecaps","200+","lúc 09:20:00 UTC+7 10 tháng 4, 2025",,"pumas unam đấu với whitecaps","https://trends.google.com.vn/trends/explore?q=pumas%20unam%20%C4%91%E1%BA%A5u%20v%E1%BB%9Bi%20whitecaps&geo=VN&hl=vi"
"renee gracie","100+","lúc 09:10:00 UTC+7 10 tháng 4, 2025",,"renee gracie","https://trends.google.com.vn/trends/explore?q=renee%20gracie&geo=VN&hl=vi"
"ford territory","100+","lúc 09:30:00 UTC+7 10 tháng 4, 2025",,"ford territory","https://trends.google.com.vn/trends/explore?q=ford%20territory&geo=VN&hl=vi"
"xoilac","10 N+","lúc 02:00:00 UTC+7 10 tháng 4, 2025","lúc 04:10:00 UTC+7 10 tháng 4, 2025","xoilac,xem bong da truc tiep","https://trends.google.com.vn/trends/explore?q=xoilac&geo=VN&hl=vi"
"xsmb","200 N+","lúc 18:30:00 UTC+7 9 tháng 4, 2025","lúc 19:40:00 UTC+7 9 tháng 4, 2025","xsmb,xổ số miền bắc hôm nay,xổ số miền bắc thứ từ hàng tuần,xổ số miền bắc thứ từ,kết quả xổ số miền bắc ngày hôm nay,xổ số đài bắc,xsmb xổ số miền bắc,so ket qua,kqxsmb hôm nay,du doan xsmb,xổ số miền bắc xổ số miền bắc,dự đoán xổ số miền bắc,xổ số trực tiếp miền bắc","https://trends.google.com.vn/trends/explore?q=xsmb&geo=VN&hl=vi"
"vndirect","500+","lúc 09:00:00 UTC+7 10 tháng 4, 2025","lúc 10:00:00 UTC+7 10 tháng 4, 2025","vndirect","https://trends.google.com.vn/trends/explore?q=vndirect&geo=VN&hl=vi"
"xoilac tv","5 N+","lúc 02:00:00 UTC+7 10 tháng 4, 2025","lúc 04:10:00 UTC+7 10 tháng 4, 2025","xoilac tv","https://trends.google.com.vn/trends/explore?q=xoilac%20tv&geo=VN&hl=vi"
"giá vàng 10/4","500+","lúc 09:50:00 UTC+7 10 tháng 4, 2025",,"giá vàng 10/4,usd,giá vàng ngày 9/4/2025,vàng hôm nay bao nhiêu,giá vàng hôm nay 9/4/2025","https://trends.google.com.vn/trends/explore?q=gi%C3%A1%20v%C3%A0ng%2010%2F4&geo=VN&hl=vi"
"kq c1","1 N+","lúc 03:10:00 UTC+7 10 tháng 4, 2025","lúc 07:40:00 UTC+7 10 tháng 4, 2025","kq c1","https://trends.google.com.vn/trends/explore?q=kq%20c1&geo=VN&hl=vi"
"võ văn kiệt","5 N+","lúc 11:00:00 UTC+7 9 tháng 4, 2025","lúc 23:20:00 UTC+7 9 tháng 4, 2025","võ văn kiệt,phu nhân thủ tướng võ văn kiệt,phan lương cầm,thủ tướng võ văn kiệt,phu nhân cố thủ tướng võ văn kiệt,vo van kiet","https://trends.google.com.vn/trends/explore?q=v%C3%B5%20v%C4%83n%20ki%E1%BB%87t&geo=VN&hl=vi"
"xổ số miền trung","100 N+","lúc 17:30:00 UTC+7 9 tháng 4, 2025","lúc 18:40:00 UTC+7 9 tháng 4, 2025","xổ số miền trung,xsmt,xổ số đà nẵng hôm nay,xổ số đà nẵng","https://trends.google.com.vn/trends/explore?q=x%E1%BB%95%20s%E1%BB%91%20mi%E1%BB%81n%20trung&geo=VN&hl=vi"
"kqbd","2 N+","lúc 03:50:00 UTC+7 10 tháng 4, 2025","lúc 07:00:00 UTC+7 10 tháng 4, 2025","kqbd","https://trends.google.com.vn/trends/explore?q=kqbd&geo=VN&hl=vi"
"lakers","200+","lúc 08:30:00 UTC+7 10 tháng 4, 2025","lúc 10:00:00 UTC+7 10 tháng 4, 2025","lakers","https://trends.google.com.vn/trends/explore?q=lakers&geo=VN&hl=vi"
"barcelona borussia dortmund","1 N+","lúc 01:50:00 UTC+7 10 tháng 4, 2025","lúc 08:10:00 UTC+7 10 tháng 4, 2025","barcelona borussia dortmund,barcelona fc,fermín lópez","https://trends.google.com.vn/trends/explore?q=barcelona%20borussia%20dortmund&geo=VN&hl=vi"
"europa league","500+","lúc 01:50:00 UTC+7 10 tháng 4, 2025","lúc 08:40:00 UTC+7 10 tháng 4, 2025","europa league","https://trends.google.com.vn/trends/explore?q=europa%20league&geo=VN&hl=vi"
"giá xăng ron 95","2 N+","lúc 18:10:00 UTC+7 9 tháng 4, 2025","lúc 09:20:00 UTC+7 10 tháng 4, 2025","giá xăng ron 95,giá xăng dầu,kết quả cup c1,ket qua cup c1","https://trends.google.com.vn/trends/explore?q=gi%C3%A1%20x%C4%83ng%20ron%2095&geo=VN&hl=vi"
"tỷ giá","500+","lúc 09:10:00 UTC+7 10 tháng 4, 2025","lúc 09:50:00 UTC+7 10 tháng 4, 2025","tỷ giá,ty gia usd,đô la mỹ,giá đô","https://trends.google.com.vn/trends/explore?q=t%E1%BB%B7%20gi%C3%A1&geo=VN&hl=vi"
"xôi lạc","2 N+","lúc 02:10:00 UTC+7 10 tháng 4, 2025","lúc 04:20:00 UTC+7 10 tháng 4, 2025","xôi lạc","https://trends.google.com.vn/trends/explore?q=x%C3%B4i%20l%E1%BA%A1c&geo=VN&hl=vi"
"c1 2025","1 N+","lúc 02:30:00 UTC+7 10 tháng 4, 2025","lúc 07:40:00 UTC+7 10 tháng 4, 2025","c1 2025,lamine yamal,ansu fati","https://trends.google.com.vn/trends/explore?q=c1%202025&geo=VN&hl=vi"
"paris saint germain","1 N+","lúc 03:00:00 UTC+7 10 tháng 4, 2025","lúc 08:00:00 UTC+7 10 tháng 4, 2025","paris saint germain,désiré doué","https://trends.google.com.vn/trends/explore?q=paris%20saint%20germain&geo=VN&hl=vi"
"kim jong un","1 N+","lúc 14:50:00 UTC+7 9 tháng 4, 2025","lúc 02:30:00 UTC+7 10 tháng 4, 2025","kim jong un","https://trends.google.com.vn/trends/explore?q=kim%20jong%20un&geo=VN&hl=vi"
"ket qua bong da hom nay","1 N+","lúc 03:40:00 UTC+7 10 tháng 4, 2025","lúc 07:00:00 UTC+7 10 tháng 4, 2025","ket qua bong da hom nay","https://trends.google.com.vn/trends/explore?q=ket%20qua%20bong%20da%20hom%20nay&geo=VN&hl=vi"
"c2","500+","lúc 04:20:00 UTC+7 10 tháng 4, 2025","lúc 08:20:00 UTC+7 10 tháng 4, 2025","c2","https://trends.google.com.vn/trends/explore?q=c2&geo=VN&hl=vi"
"nghỉ lễ 30 4 và 1 5 2025","100+","lúc 09:00:00 UTC+7 10 tháng 4, 2025","lúc 10:00:00 UTC+7 10 tháng 4, 2025","nghỉ lễ 30 4 và 1 5 2025","https://trends.google.com.vn/trends/explore?q=ngh%E1%BB%89%20l%E1%BB%85%2030%204%20v%C3%A0%201%205%202025&geo=VN&hl=vi"
"xem bong da","1 N+","lúc 02:00:00 UTC+7 10 tháng 4, 2025","lúc 04:30:00 UTC+7 10 tháng 4, 2025","xem bong da,bongda,nhánh đấu c1,vô địch anh,lượt về real vs arsenal","https://trends.google.com.vn/trends/explore?q=xem%20bong%20da&geo=VN&hl=vi"
"livescore","1 N+","lúc 03:00:00 UTC+7 10 tháng 4, 2025","lúc 06:50:00 UTC+7 10 tháng 4, 2025","livescore","https://trends.google.com.vn/trends/explore?q=livescore&geo=VN&hl=vi"
"giá yên hôm nay","500+","lúc 07:00:00 UTC+7 10 tháng 4, 2025","lúc 08:20:00 UTC+7 10 tháng 4, 2025","giá yên hôm nay,giá yên nhật hôm nay,ty gia yen","https://trends.google.com.vn/trends/explore?q=gi%C3%A1%20y%C3%AAn%20h%C3%B4m%20nay&geo=VN&hl=vi"
"xem bóng đá trực tiếp","1 N+","lúc 02:10:00 UTC+7 10 tháng 4, 2025","lúc 04:30:00 UTC+7 10 tháng 4, 2025","xem bóng đá trực tiếp","https://trends.google.com.vn/trends/explore?q=xem%20b%C3%B3ng%20%C4%91%C3%A1%20tr%E1%BB%B1c%20ti%E1%BA%BFp&geo=VN&hl=vi"
"bongdaso","2 N+","lúc 03:50:00 UTC+7 10 tháng 4, 2025","lúc 07:00:00 UTC+7 10 tháng 4, 2025","bongdaso","https://trends.google.com.vn/trends/explore?q=bongdaso&geo=VN&hl=vi"
"a minecraft movie","200+","lúc 08:40:00 UTC+7 10 tháng 4, 2025","lúc 09:40:00 UTC+7 10 tháng 4, 2025","a minecraft movie","https://trends.google.com.vn/trends/explore?q=a%20minecraft%20movie&geo=VN&hl=vi"
"90phut","1 N+","lúc 02:10:00 UTC+7 10 tháng 4, 2025","lúc 04:10:00 UTC+7 10 tháng 4, 2025","90phut","https://trends.google.com.vn/trends/explore?q=90phut&geo=VN&hl=vi"
"jamieson greer","100+","lúc 08:40:00 UTC+7 10 tháng 4, 2025","lúc 09:30:00 UTC+7 10 tháng 4, 2025","jamieson greer","https://trends.google.com.vn/trends/explore?q=jamieson%20greer&geo=VN&hl=vi"
"cup c2","200+","lúc 02:50:00 UTC+7 10 tháng 4, 2025","lúc 09:00:00 UTC+7 10 tháng 4, 2025","cup c2","https://trends.google.com.vn/trends/explore?q=cup%20c2&geo=VN&hl=vi"
"lion city đấu với sydney","1 N+","lúc 18:10:00 UTC+7 9 tháng 4, 2025","lúc 01:10:00 UTC+7 10 tháng 4, 2025","lion city đấu với sydney","https://trends.google.com.vn/trends/explore?q=lion%20city%20%C4%91%E1%BA%A5u%20v%E1%BB%9Bi%20sydney&geo=VN&hl=vi"
"xoilactv","1 N+","lúc 02:00:00 UTC+7 10 tháng 4, 2025","lúc 04:20:00 UTC+7 10 tháng 4, 2025","xoilactv","https://trends.google.com.vn/trends/explore?q=xoilactv&geo=VN&hl=vi"
"uefa europa","200+","lúc 05:10:00 UTC+7 10 tháng 4, 2025","lúc 07:40:00 UTC+7 10 tháng 4, 2025","uefa europa","https://trends.google.com.vn/trends/explore?q=uefa%20europa&geo=VN&hl=vi"
"benfica","200+","lúc 02:50:00 UTC+7 10 tháng 4, 2025","lúc 05:40:00 UTC+7 10 tháng 4, 2025","benfica","https://trends.google.com.vn/trends/explore?q=benfica&geo=VN&hl=vi"
"việt nam!","500+","lúc 06:00:00 UTC+7 10 tháng 4, 2025","lúc 07:50:00 UTC+7 10 tháng 4, 2025","việt nam!,hồ đức phớc","https://trends.google.com.vn/trends/explore?q=vi%E1%BB%87t%20nam!&geo=VN&hl=vi"
"bong da truc tuyen","500+","lúc 02:20:00 UTC+7 10 tháng 4, 2025","lúc 04:20:00 UTC+7 10 tháng 4, 2025","bong da truc tuyen,xem bong da truc tuyen","https://trends.google.com.vn/trends/explore?q=bong%20da%20truc%20tuyen&geo=VN&hl=vi"
"ketqua","10 N+","lúc 18:40:00 UTC+7 9 tháng 4, 2025","lúc 19:40:00 UTC+7 9 tháng 4, 2025","ketqua,ketqua.net,ketqua net","https://trends.google.com.vn/trends/explore?q=ketqua&geo=VN&hl=vi"
"tructiepbongda","500+","lúc 02:20:00 UTC+7 10 tháng 4, 2025","lúc 04:30:00 UTC+7 10 tháng 4, 2025","tructiepbongda","https://trends.google.com.vn/trends/explore?q=tructiepbongda&geo=VN&hl=vi"
"keonhacai","500+","lúc 02:00:00 UTC+7 10 tháng 4, 2025","lúc 04:00:00 UTC+7 10 tháng 4, 2025","keonhacai","https://trends.google.com.vn/trends/explore?q=keonhacai&geo=VN&hl=vi"
"bóng đá hôm nay","200+","lúc 02:00:00 UTC+7 10 tháng 4, 2025","lúc 04:40:00 UTC+7 10 tháng 4, 2025","bóng đá hôm nay,lich thi dau bong da","https://trends.google.com.vn/trends/explore?q=b%C3%B3ng%20%C4%91%C3%A1%20h%C3%B4m%20nay&geo=VN&hl=vi"
"xo so","5 N+","lúc 16:30:00 UTC+7 9 tháng 4, 2025","lúc 19:30:00 UTC+7 9 tháng 4, 2025","xo so,xổ số thứ tư","https://trends.google.com.vn/trends/explore?q=xo%20so&geo=VN&hl=vi"
"psg – angers","200+","lúc 23:10:00 UTC+7 9 tháng 4, 2025","lúc 02:50:00 UTC+7 10 tháng 4, 2025","psg – angers","https://trends.google.com.vn/trends/explore?q=psg%20%E2%80%93%20angers&geo=VN&hl=vi"
"90phut tv","200+","lúc 02:10:00 UTC+7 10 tháng 4, 2025","lúc 04:10:00 UTC+7 10 tháng 4, 2025","90phut tv","https://trends.google.com.vn/trends/explore?q=90phut%20tv&geo=VN&hl=vi"
"bitcoin","500+","lúc 01:20:00 UTC+7 10 tháng 4, 2025","lúc 08:10:00 UTC+7 10 tháng 4, 2025","bitcoin,btc","https://trends.google.com.vn/trends/explore?q=bitcoin&geo=VN&hl=vi"
"hit club","1 N+","lúc 12:20:00 UTC+7 9 tháng 4, 2025","lúc 04:20:00 UTC+7 10 tháng 4, 2025","hit club","https://trends.google.com.vn/trends/explore?q=hit%20club&geo=VN&hl=vi"
"bong88","200+","lúc 02:20:00 UTC+7 10 tháng 4, 2025","lúc 04:20:00 UTC+7 10 tháng 4, 2025","bong88","https://trends.google.com.vn/trends/explore?q=bong88&geo=VN&hl=vi"
"xsmtr","2 N+","lúc 17:30:00 UTC+7 9 tháng 4, 2025","lúc 18:30:00 UTC+7 9 tháng 4, 2025","xsmtr","https://trends.google.com.vn/trends/explore?q=xsmtr&geo=VN&hl=vi"
"bao bong da","200+","lúc 06:00:00 UTC+7 10 tháng 4, 2025","lúc 07:00:00 UTC+7 10 tháng 4, 2025","bao bong da","https://trends.google.com.vn/trends/explore?q=bao%20bong%20da&geo=VN&hl=vi"
"lịch cúp điện cần thơ","200+","lúc 22:10:00 UTC+7 9 tháng 4, 2025","lúc 23:40:00 UTC+7 9 tháng 4, 2025","lịch cúp điện cần thơ","https://trends.google.com.vn/trends/explore?q=l%E1%BB%8Bch%20c%C3%BAp%20%C4%91i%E1%BB%87n%20c%E1%BA%A7n%20th%C6%A1&geo=VN&hl=vi"
"jd vance","200+","lúc 18:20:00 UTC+7 9 tháng 4, 2025","lúc 07:50:00 UTC+7 10 tháng 4, 2025","jd vance","https://trends.google.com.vn/trends/explore?q=jd%20vance&geo=VN&hl=vi"
"bong da 24h","100+","lúc 05:10:00 UTC+7 10 tháng 4, 2025","lúc 06:20:00 UTC+7 10 tháng 4, 2025","bong da 24h,mu vs lyon","https://trends.google.com.vn/trends/explore?q=bong%20da%2024h&geo=VN&hl=vi"
"trump tariff","500+","lúc 00:40:00 UTC+7 10 tháng 4, 2025","lúc 02:10:00 UTC+7 10 tháng 4, 2025","trump tariff,reuters,a,u","https://trends.google.com.vn/trends/explore?q=trump%20tariff&geo=VN&hl=vi"
"sydney fc","200+","lúc 19:20:00 UTC+7 9 tháng 4, 2025","lúc 21:00:00 UTC+7 9 tháng 4, 2025","sydney fc","https://trends.google.com.vn/trends/explore?q=sydney%20fc&geo=VN&hl=vi"
"binance","100+","lúc 01:00:00 UTC+7 10 tháng 4, 2025","lúc 03:30:00 UTC+7 10 tháng 4, 2025","binance","https://trends.google.com.vn/trends/explore?q=binance&geo=VN&hl=vi"
"hoa hậu thuỳ tiên","200+","lúc 19:10:00 UTC+7 9 tháng 4, 2025","lúc 23:00:00 UTC+7 9 tháng 4, 2025","hoa hậu thuỳ tiên","https://trends.google.com.vn/trends/explore?q=hoa%20h%E1%BA%ADu%20thu%E1%BB%B3%20ti%C3%AAn&geo=VN&hl=vi"
"cnbc","200+","lúc 00:40:00 UTC+7 10 tháng 4, 2025","lúc 02:10:00 UTC+7 10 tháng 4, 2025","cnbc","https://trends.google.com.vn/trends/explore?q=cnbc&geo=VN&hl=vi"
"spotify","1 N+","lúc 16:00:00 UTC+7 9 tháng 4, 2025","lúc 17:00:00 UTC+7 9 tháng 4, 2025","spotify","https://trends.google.com.vn/trends/explore?q=spotify&geo=VN&hl=vi"
"lịch thi đấu cúp c1","100+","lúc 04:00:00 UTC+7 10 tháng 4, 2025","lúc 07:10:00 UTC+7 10 tháng 4, 2025","lịch thi đấu cúp c1,lịch đá bóng hôm nay","https://trends.google.com.vn/trends/explore?q=l%E1%BB%8Bch%20thi%20%C4%91%E1%BA%A5u%20c%C3%BAp%20c1&geo=VN&hl=vi"
"ket qua net","500+","lúc 18:40:00 UTC+7 9 tháng 4, 2025","lúc 19:50:00 UTC+7 9 tháng 4, 2025","ket qua net","https://trends.google.com.vn/trends/explore?q=ket%20qua%20net&geo=VN&hl=vi"
"anh trai say hi","200+","lúc 10:10:00 UTC+7 9 tháng 4, 2025","lúc 19:00:00 UTC+7 9 tháng 4, 2025","anh trai say hi","https://trends.google.com.vn/trends/explore?q=anh%20trai%20say%20hi&geo=VN&hl=vi"
"bảo hiểm y tế","200+","lúc 18:10:00 UTC+7 9 tháng 4, 2025","lúc 19:40:00 UTC+7 9 tháng 4, 2025","bảo hiểm y tế","https://trends.google.com.vn/trends/explore?q=b%E1%BA%A3o%20hi%E1%BB%83m%20y%20t%E1%BA%BF&geo=VN&hl=vi"
"y tế","200+","lúc 16:50:00 UTC+7 9 tháng 4, 2025","lúc 18:10:00 UTC+7 9 tháng 4, 2025","y tế","https://trends.google.com.vn/trends/explore?q=y%20t%E1%BA%BF&geo=VN&hl=vi"
"b","200+","lúc 01:40:00 UTC+7 10 tháng 4, 2025","lúc 06:20:00 UTC+7 10 tháng 4, 2025","b","https://trends.google.com.vn/trends/explore?q=b&geo=VN&hl=vi"
"trần thanh mẫn","200+","lúc 19:10:00 UTC+7 9 tháng 4, 2025","lúc 20:20:00 UTC+7 9 tháng 4, 2025","trần thanh mẫn","https://trends.google.com.vn/trends/explore?q=tr%E1%BA%A7n%20thanh%20m%E1%BA%ABn&geo=VN&hl=vi"
"iphone 14","500+","lúc 11:10:00 UTC+7 9 tháng 4, 2025","lúc 12:50:00 UTC+7 9 tháng 4, 2025","iphone 14","https://trends.google.com.vn/trends/explore?q=iphone%2014&geo=VN&hl=vi"
"car insurance","200+","lúc 13:30:00 UTC+7 9 tháng 4, 2025","lúc 14:40:00 UTC+7 9 tháng 4, 2025","car insurance","https://trends.google.com.vn/trends/explore?q=car%20insurance&geo=VN&hl=vi"
"kqbd hom nay","100+","lúc 05:00:00 UTC+7 10 tháng 4, 2025","lúc 05:40:00 UTC+7 10 tháng 4, 2025","kqbd hom nay","https://trends.google.com.vn/trends/explore?q=kqbd%20hom%20nay&geo=VN&hl=vi"
"minh ngọc","500+","lúc 16:30:00 UTC+7 9 tháng 4, 2025","lúc 17:30:00 UTC+7 9 tháng 4, 2025","minh ngọc","https://trends.google.com.vn/trends/explore?q=minh%20ng%E1%BB%8Dc&geo=VN&hl=vi"
"lego","200+","lúc 19:30:00 UTC+7 9 tháng 4, 2025","lúc 20:30:00 UTC+7 9 tháng 4, 2025","lego","https://trends.google.com.vn/trends/explore?q=lego&geo=VN&hl=vi"
"matic","100+","lúc 23:30:00 UTC+7 9 tháng 4, 2025","lúc 00:20:00 UTC+7 10 tháng 4, 2025","matic","https://trends.google.com.vn/trends/explore?q=matic&geo=VN&hl=vi"
"kết quả nét","200+","lúc 18:50:00 UTC+7 9 tháng 4, 2025","lúc 19:40:00 UTC+7 9 tháng 4, 2025","kết quả nét","https://trends.google.com.vn/trends/explore?q=k%E1%BA%BFt%20qu%E1%BA%A3%20n%C3%A9t&geo=VN&hl=vi"
"devil may cry","200+","lúc 12:30:00 UTC+7 9 tháng 4, 2025","lúc 13:50:00 UTC+7 9 tháng 4, 2025","devil may cry","https://trends.google.com.vn/trends/explore?q=devil%20may%20cry&geo=VN&hl=vi"
"tử vi","100+","lúc 01:00:00 UTC+7 10 tháng 4, 2025","lúc 01:40:00 UTC+7 10 tháng 4, 2025","tử vi","https://trends.google.com.vn/trends/explore?q=t%E1%BB%AD%20vi&geo=VN&hl=vi"
"lê duẩn","200+","lúc 13:20:00 UTC+7 9 tháng 4, 2025","lúc 18:00:00 UTC+7 9 tháng 4, 2025","lê duẩn","https://trends.google.com.vn/trends/explore?q=l%C3%AA%20du%E1%BA%A9n&geo=VN&hl=vi"
"bảng đặc biệt năm","200+","lúc 18:50:00 UTC+7 9 tháng 4, 2025","lúc 19:40:00 UTC+7 9 tháng 4, 2025","bảng đặc biệt năm","https://trends.google.com.vn/trends/explore?q=b%E1%BA%A3ng%20%C4%91%E1%BA%B7c%20bi%E1%BB%87t%20n%C4%83m&geo=VN&hl=vi"
"kawasaki frontale","100+","lúc 19:00:00 UTC+7 9 tháng 4, 2025","lúc 20:00:00 UTC+7 9 tháng 4, 2025","kawasaki frontale","https://trends.google.com.vn/trends/explore?q=kawasaki%20frontale&geo=VN&hl=vi"
"lan hương","200+","lúc 13:00:00 UTC+7 9 tháng 4, 2025","lúc 14:40:00 UTC+7 9 tháng 4, 2025","lan hương","https://trends.google.com.vn/trends/explore?q=lan%20h%C6%B0%C6%A1ng&geo=VN&hl=vi"
"sri lanka","100+","lúc 14:50:00 UTC+7 9 tháng 4, 2025","lúc 16:00:00 UTC+7 9 tháng 4, 2025","sri lanka","https://trends.google.com.vn/trends/explore?q=sri%20lanka&geo=VN&hl=vi"
"đấu giá biển số xe máy","100+","lúc 19:10:00 UTC+7 9 tháng 4, 2025","lúc 19:50:00 UTC+7 9 tháng 4, 2025","đấu giá biển số xe máy","https://trends.google.com.vn/trends/explore?q=%C4%91%E1%BA%A5u%20gi%C3%A1%20bi%E1%BB%83n%20s%E1%BB%91%20xe%20m%C3%A1y&geo=VN&hl=vi"
"bellingham","100+","lúc 21:30:00 UTC+7 9 tháng 4, 2025","lúc 22:00:00 UTC+7 9 tháng 4, 2025","bellingham","https://trends.google.com.vn/trends/explore?q=bellingham&geo=VN&hl=vi"
